context;source;city_id;province_id;date (DD/MM/YY HH.mm.ss)
penyuapan pengadilan tinggi dki jakarta;kpk;3173;31;03/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta;kpk;NULL;11;20/02/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi banten;kpk;NULL;53;12/05/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kejaksaan tinggi sulawesi utara;kpk;7106;71;16/05/14 00.00.00
tindak pidana lain yang berkaitan dengan tindak pidana korupsi kementerian pekerjaan umum;kpk;3522;35;13/05/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta;kpk;NULL;11;24/02/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta;kpk;3173;31;03/03/14 00.00.00
penyuapan pemerintah kota bima;kpk;5272;52;28/01/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten lombok tengah;kpk;5202;52;05/02/14 00.00.00
pemerasan pemerintah kota salatiga;kpk;3373;33;20/02/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. perusahaan listrik negara;kpk;3374;33;29/04/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten jepara;kpk;NULL;53;03/12/14 00.00.00
penyuapan mahkamah konstitusi;kpk;5272;52;05/03/14 00.00.00
penyuapan kejaksaan tinggi kepulauan bangka belitung;kpk;1905;19;14/02/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta;kpk;3173;31;11/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta;kpk;3273;32;03/03/14 00.00.00
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah provinsi kalimantan tengah;kpk;6271;62;07/03/14 00.00.00
penyuapan pemerintah provinsi jambi;kpk;1571;15;20/02/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten gorontalo;kpk;NULL;53;29/04/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten musi banyuasin;kpk;1606;16;07/05/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten demak;kpk;3321;33;14/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten barito kuala;kpk;6304;63;25/04/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten tapanuli tengah;kpk;1204;12;24/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. hutama karya;kpk;NULL;11;26/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. tabungan asuransi pensiun;kpk;3173;31;05/02/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian keuangan;kpk;3173;31;28/02/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara badan pelaksana kegiatan usaha hulu migas (bp migas);kpk;3276;32;04/11/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara dewan perwakilan rakyat daerah provinsi jawa tengah;kpk;3374;33;10/11/14 00.00.00
penyuapan kementerian kehutanan;kpk;1571;15;11/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kepolisian daerah sulawesi utara;kpk;7171;71;17/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kepolisian daerah sulawesi utara;kpk;7171;71;19/03/14 00.00.00
penyuapan mahkamah agung;kpk;1571;15;11/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten langkat;kpk;1213;12;20/05/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten lampung utara;kpk;1806;18;06/05/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota palangka raya;kpk;6271;62;14/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta;kpk;3175;31;11/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian pendidikan nasional;kpk;1275;12;19/03/14 00.00.00
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten sintang;kpk;6107;61;17/03/14 00.00.00
pemerasan ;kpk;7101;71;13/03/14 00.00.00
pemerasan mahkamah agung;kpk;1407;14;26/03/14 00.00.00
pemerasan pemerintah kabupaten poso;kpk;7204;72;07/03/14 00.00.00
gratifikasi kepolisian resor kota jakarta utara;kpk;3175;31;27/01/14 00.00.00
